INSERT INTO names (ID,name,type,gender) VALUES (0, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (197, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (198, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (199, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (200, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (201, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (202, Любовь, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (203, Шерлока, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (204, Холмса, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (205, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (206, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (207, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (208, Мориарти, фам, мж);
INSERT INTO names (ID,name,type,gender) VALUES (209, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (210, Донован, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (211, Бейкер, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (212, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (213, Ватсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (214, Мориарти, фам, мж);
INSERT INTO names (ID,name,type,gender) VALUES (215, Мориарти, фам, мж);
INSERT INTO names (ID,name,type,gender) VALUES (216, Шерлока, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (217, Холмса, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (218, Ватсона, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (219, Тайминг, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (220, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (221, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (222, Нокс, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (223, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (224, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (225, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (226, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (227, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (228, Себастиан, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (229, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (230, Ватсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (231, Уильяма, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (232, Себастиан, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (233, Гонгконгом, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (234, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (235, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (236, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (237, Диммок, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (238, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (239, Себастиан, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (240, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (241, Харроу, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (242, Эдди, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (243, Себастиан, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (244, Криспианс, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (245, Мин, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (246, Сяньцзуна, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (247, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (248, Брайан, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (249, Эдди, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (250, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (251, Доклендс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (252, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (253, Кенсингтона, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (254, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (255, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (256, Лукиса, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (257, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (258, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (259, ПИН, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (260, Энди, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (261, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (262, Меня, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (263, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (264, Аманда, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (265, Эдди, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (266, Вест, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (267, Энда, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (268, Эдди, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (269, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (270, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (271, Лукиса, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (272, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (273, Хан, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (274, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (275, Себастиан, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (276, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (277, Лукисом, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (278, Коте, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (279, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (280, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (281, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (282, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (283, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (284, Энди, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (285, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (286, Чувак, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (287, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (288, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (289, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (290, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (291, Хан, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (292, Чжи, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (293, Чжу, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (294, Чжи, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (295, Чжу, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (296, Черный, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (297, Чёрный, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (298, Шан, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (299, Чёрного, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (300, Чжи, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (301, Чжу, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (302, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (303, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (304, Лян, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (305, Брайан, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (306, Эдди, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (307, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (308, Черный, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (309, Эгона, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (310, Эдди, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (311, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (312, Брайана, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (313, Лукиса, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (314, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (315, Лукиса, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (316, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (317, Шан, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (318, Шан, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (319, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (320, Мао, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (321, Черный, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (322, Криспиана, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (323, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (324, Лукиса, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (325, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (326, Лукиса, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (327, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (328, Чжи, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (329, Чжу, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (330, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (331, Пасиб, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (332, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (333, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (334, Прошу, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (335, Меня, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (336, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (337, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (338, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (339, Сарой, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (340, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (341, Сару, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (342, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (343, Слава, имя, жен);
INSERT INTO names (ID,name,type,gender) VALUES (344, Ван, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (345, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (346, Джоном, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (347, Хадсон, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (348, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (349, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (350, Милл, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (351, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (352, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (353, Джон, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (354, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (355, Шерлок, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (356, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (357, Холмса, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (358, Шерлока, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (359, Холмса, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (360, Шерлока, имя, муж);
INSERT INTO names (ID,name,type,gender) VALUES (361, Холмса, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (362, Холмс, фам, муж);
INSERT INTO names (ID,name,type,gender) VALUES (363, Шерлок, имя, муж);
